!SIL    1.0	sil
<SPN>   1.0	spn
<UNK>   1.0	unk
అ	1.0	అ 
అంక	1.0	అం క 
అకట్టుకుంటున్నారు	1.0	అ క ట్టు కుం టు న్నా రు 
అకస్మా	1.0	అ కస్ మా 
అకస్మాత్తుగా	1.0	అ కస్ మా త్తు గా 
అకస్మిక	1.0	అ కస్ మి క 
అకాడమీ	1.0	అ కా డ మీ 
అకాడమీని	1.0	అ కా డ మీ ని 
అకాడమీలో	1.0	అ కా డ మీ లో 
అంకాపూర్	1.0	అం కా పూర్ 
అంకారా	1.0	అం కా రా 
అకాల	1.0	అ కా ల 
అంకితమని	1.0	అం కి త మ ని 
అంకితమిస్తున్నట్టు	1.0	అం కి త మిస్ తు న్న ట్టు 
అకుంఠిత	1.0	అ కుం ఠి త 
అంకురం	1.0	అం కు రం 
అంకురార్పణ	1.0	అం కు రార్ ప ణ 
అంకుల్	1.0	అం కుల్ 
అంకెల	1.0	అం కె ల 
అకౌంట్లు	1.0	అ కౌంట్ లు 
అక్క	1.0	అ క్క 
అక్కకు	1.0	అ క్క కు 
అక్కడ	1.0	అ క్క డ 
అక్కడకు	1.0	అ క్క డ కు 
అక్కడక్కడ	1.0	అ క్క డ క్క డ 
అక్కడక్కడా	1.0	అ క్క డ క్క డా 
అక్కడి	1.0	అ క్క డి 
అక్కడికక్కడే	1.0	అ క్క డి క క్క డే 
అక్కడికి	1.0	అ క్క డి కి 
అక్కడికెళ్లాక	1.0	అ క్క డి కెళ్ లా క 
అక్కడికే	1.0	అ క్క డి కే 
అక్కడిక్కడే	1.0	అ క్క డి క్క డే 
అక్కడున్న	1.0	అ క్క డు న్న 
అక్కడే	1.0	అ క్క డే 
అక్కన్న	1.0	అ క్క న్న 
అక్కలపై	1.0	అ క్క ల పై 
అక్కలు	1.0	అ క్క లు 
అక్కాచెల్లెళ్లు	1.0	అ క్కా చె ల్లెళ్ లు 
అక్కినేని	1.0	అ క్కి నే ని 
అక్తర్	1.0	అక్ తర్ 
అక్బరుద్దీన్	1.0	అక్ బ రు ద్దీన్ 
అక్మల్	1.0	అక్ మల్ 
అక్రమ	1.0	అక్ ర మ 
అక్రమంగా	1.0	అక్ ర మం గా 
అక్రమార్కులను	1.0	అక్ ర మార్ కు ల ను 
అక్రమార్కులు	1.0	అక్ ర మార్ కు లు 
అక్రమార్జన	1.0	అక్ ర మార్ జ న 
అక్రమాలకు	1.0	అక్ ర మా ల కు 
అక్రమాలను	1.0	అక్ ర మా ల ను 
అక్రమాలపై	1.0	అక్ ర మా ల పై 
అక్రమాలు	1.0	అక్ ర మా లు 
అక్రమాలేనని	1.0	అక్ ర మా లే న ని 
అక్రమించుకునే	1.0	అక్ ర మిం చు కు నే 
అక్రమ్	1.0	అక్ రమ్ 
అక్వా	1.0	అక్ వా 
అక్షయ	1.0	అక్ ష య 
అక్షయపాత్ర	1.0	అక్ ష య పాత్ ర 
అక్షయ్	1.0	అక్ షయ్ 
అక్షర	1.0	అక్ ష ర 
అక్షరాన్ని	1.0	అక్ ష రా న్ని 
అక్షరాల	1.0	అక్ ష రా ల 
అక్షరాలతో	1.0	అక్ ష రా ల తో 
అక్షరాలా	1.0	అక్ ష రా లా 
అక్షరాస్యత	1.0	అక్ ష రాస్ య త 
అంక్షలను	1.0	అంక్ ష ల ను 
అక్షిత్	1.0	అక్ షిత్ 
అఖండ	1.0	అ ఖం డ 
అఖిల	1.0	అ ఖి ల 
అఖిలతో	1.0	అ ఖి ల తో 
అఖిలపక్ష	1.0	అ ఖి ల పక్ ష 
అఖిలపక్షం	1.0	అ ఖి ల పక్ షం 
అఖిలప్రియ	1.0	అ ఖి లప్ రి య 
అఖిలప్రియకు	1.0	అ ఖి లప్ రి య కు 
అఖిలభారత	1.0	అ ఖి ల భా ర త 
అఖిలేష్	1.0	అ ఖి లేష్ 
అంగడి	1.0	అం గ డి 
అంగనవాడీ	1.0	అం గ న వా డీ 
అంగన్	1.0	అం గన్ 
అంగన్వాడీ	1.0	అం గన్ వా డీ 
అంగబంగాలు	1.0	అం గ బం గా లు 
అంగబలం	1.0	అం గ బ లం 
అగమేఘాల	1.0	అ గ మే ఘా ల 
అగమ్య	1.0	అ గమ్ య 
అగమ్యగోచనంగా	1.0	అ గమ్ య గో చ నం గా 
అంగరంగ	1.0	అం గ రం గ 
అంగరంగా	1.0	అం గ రం గా 
అంగవైకల్యాన్ని	1.0	అం గ వై కల్ యా న్ని 
అంగారక	1.0	అం గా ర క 
అంగీకరించ	1.0	అం గీ క రిం చ 
అంగీకరించడం	1.0	అం గీ క రిం చ డం 
అంగీకరించడంతో	1.0	అం గీ క రిం చ డం తో 
అంగీకరించబోమని	1.0	అం గీ క రిం చ బో మ ని 
అంగీకరించరన్న	1.0	అం గీ క రిం చ ర న్న 
అంగీకరించలేదు	1.0	అం గీ క రిం చ లే దు 
అంగీకరించాడని	1.0	అం గీ క రిం చా డ ని 
అంగీకరించాయి	1.0	అం గీ క రిం చా యి 
అంగీకరించారని	1.0	అం గీ క రిం చా ర ని 
అంగీకరించారు	1.0	అం గీ క రిం చా రు 
అంగీకరించాలని	1.0	అం గీ క రిం చా ల ని 
అంగీకరించాల్సిందే	1.0	అం గీ క రిం చాల్ సిం దే 
అంగీకరించి	1.0	అం గీ క రిం చి 
